task_type,subtype,style_phrase,tags
11,match_signs_a_c,"Сначала посмотри, куда «смотрят» ветви параболы и где они пересекают вертикальную ось.",объяснение
11,match_signs_a_c,"Посмотри внимательно: одни параболы похожи на улыбку, другие — на грустное лицо. А еще важно, где график проходит через вертикальную ось!",метафора
11,match_signs_a_c,В этой задаче важны всего два признака — направление вверх/вниз и положение выше/ниже нуля на оси Y.,объяснение
11,match_signs_a_c,"Каждый график «говорит» о двух важных вещах: направлении своих ветвей и том, где он пересекает ось Y.",метафора
11,match_signs_a_c,Присмотрись к форме кривых и их положению относительно оси Y — это поможет связать всё воедино.,совет
11,match_signs_a_c,"Запомни два правила: знак a показывает, «улыбается» парабола (a>0) или «грустит» (a<0). А знак c определяется тем, выше (c>0) или ниже (c<0) оси X график пересекает ось Y.",объяснение
11,match_signs_a_c,"Коэффициент a определяет направление ветвей, а c — значение y в точке пересечения с вертикальной осью (x=0).",объяснение
11,match_signs_a_c,"Ветви параболы вверх? Значит, a положительное. Пересекает ось Y выше нуля? Тогда c тоже положительное.",пример
11,match_signs_a_c,"Коэффициент a отвечает за форму, а c — за стартовую высоту графика. Другие коэффициенты здесь не важны.",объяснение
11,match_signs_a_c,Любая парабола y=ax²+bx+c пересекает ось Y в точке (0;c). Отсюда сразу виден знак c.,объяснение
11,match_signs_a_c,"Действуй по плану: для каждого графика определи знак a и знак c, а потом сопоставь с вариантами.",алгоритм
11,match_signs_a_c,Посмотри на форму параболы — это знак a. Найди пересечение с Oy — это знак c.,алгоритм
11,match_signs_a_c,"Для графика А посмотри на ветви и на пересечение с Oy. Сделай то же самое для Б и В, а потом сравни.",алгоритм
11,match_signs_a_c,"Простая проверка: ветви вверх — a>0, пересечение с Y выше нуля — c>0. Запиши и сравни с ответами.",практика
11,form_match_mixed,Посмотри внимательно на форму каждого графика — они все разные! Каждая кривая имеет свой «почерк».,метафора
11,form_match_mixed,"Заметь, один график — идеально прямой, а два других — кривые. Эта разница в форме — ключ к разгадке!",метафора
11,form_match_mixed,"Не пытайся сразу считать точки! Сначала визуально свяжи форму графика (прямая, «чаша», «ветка») с типом функции.",совет
11,form_match_mixed,"Представь, что графики — это дороги: одна прямая как шоссе, другая с холмом, третья — с плавным поворотом.",метафора
11,form_match_mixed,"Это задание на «узнавание в лицо». Вспомни, какая «семья» функций как выглядит.",совет
11,form_match_mixed,"Вспомни героев: прямая — линейная (y=kx+b), парабола — квадратичная (y=ax²+...), а «ветка» — это √x.",объяснение
11,form_match_mixed,Если в формуле есть x² — ищи параболу. Если √x — это корень. Если просто x — прямая.,объяснение
11,form_match_mixed,"У каждой функции свой стиль: прямая — бесконечна, парабола — симметрична, √x — только вправо.",объяснение
11,form_match_mixed,Сосредоточься на самом заметном. Параболу спутать трудно — найди её и останется два варианта.,совет
11,form_match_mixed,"Каждая формула рассказывает историю: y=2x−4 — прямая, y=x²−4 — парабола, y=√x — ветка из (0;0).",пример
11,form_match_mixed,"Действуй по плану: определи тип по форме, найди формулу с тем же типом и сопоставь.",алгоритм
11,form_match_mixed,"Можно пойти от формул: определи тип, найди график, повтори для всех.",алгоритм
11,form_match_mixed,"Логика исключения спасает! Найди самый очевидный график — например, прямую. Дальше проще.",совет
11,form_match_mixed,График «чаши» — парабола (ищи x²). Прямая — линейная (x). Ветка из начала координат — √x.,объяснение
11,form_match_mixed,"Проверь себя точками: подставь x=0 и посмотри, где график пересекает ось Y.",практика
11,match_signs_k_b,"Проведи пальцем по линии слева направо. Палец ползёт вверх — k>0, едет вниз — k<0.",метафора
11,match_signs_k_b,"Представь, что по графику идёт человечек. Если k>0 — он взбирается в гору, если k<0 — катится вниз.",метафора
11,match_signs_k_b,"Если прямая лезет вверх — как ты к холодильнику ночью: уверенно и с плюсом 😏. Сползает вниз — минус мотивация, минус k 💀.",юмор
11,match_signs_k_b,"k — это настроение графика: растёт вверх — всё хорошо, падает вниз — не день Бэкхема.",метафора
11,match_signs_k_b,"Смотри на k как на пилота: k>0 — самолёт взлетает, k<0 — идёт на посадку.",метафора
11,match_signs_k_b,"b — это точка старта по оси Y. Если выше нуля — ты уже на пьедестале, если ниже — поднимайся 😅.",объяснение
11,match_signs_k_b,"Буква b «бьёт» по оси Y и показывает, где пересечь — выше или ниже нуля.",объяснение
11,match_signs_k_b,"b — как отметка на лифте: выше нуля — пентхаус, ниже — подвал.",метафора
11,match_signs_k_b,"b — это твой стартовый баланс: над нулем — положительный, под нулем — отрицательный.",юмор
11,match_signs_k_b,"Не путай: k отвечает за наклон (куда ползёт), b — за старт (где ось Y). Это как горка и её основание.",объяснение
11,match_signs_k_b,Прямая вверх и старт сверху — оба красавчики с плюсом 💫.,юмор
11,match_signs_k_b,"Вместе они как команда: k задаёт направление, b — положение. Всё сразу становится ясно.",метафора
11,match_signs_k_b,"Даже если старт низкий (b<0), с правильным наклоном (k>0) можно подняться 🚀.",мотивация
1-5,tires_q1,"Таблица — как меню в кафе: выбери «блюдо» с диском 17 дюймов и самую узкую «гарнировку» — это ответ.",метафора
1-5,tires_q1,"Диск — это тарелка, а шина — блин на ней. Для 17-дюймовой тарелки ищем самый маленький блин.",метафора
1-5,tires_q1,"Ищи столбец 17 и выбери самое маленькое первое число в маркировке — это ширина шины.",объяснение
1-5,tires_q1,"Не путай диаметр диска с шириной: диск — размер колеса, а ширина — его «талия».",совет
1-5,tires_q1,"Если в ячейке прочерк — значит, вариант не подходит. Просто игнорируй.",совет
1-5,tires_q1,"Это задачка-гляделка: ничего считать не нужно, только найти минимум глазами.",объяснение
1-5,tires_q1,"Проверка: ответ в миллиметрах и всегда самый маленький в колонке.",совет
1-5,tires_q2,"Радиус — как рост колеса: одинаковые «ботинки» (диски), разная «подошва» (высота боковины).",метафора
1-5,tires_q2,"Высота боковины H = ширина × (процент ÷ 100). Разница радиусов = H₁ − H₂.",объяснение
1-5,tires_q2,"Не трать время на диск — он одинаковый! Просто сравни высоты H.",совет
1-5,tires_q2,"Формула: H = B · p / 100. Затем |H₁ − H₂| — и ответ готов.",объяснение
1-5,tires_q2,"Представь два бутерброда: хлеб одинаковый (диск), а колбаса (H) разная — ищем разницу толщин.",метафора
1-5,tires_q2,"Если разница получилась отрицательной — возьми модуль. Вопрос ведь «на сколько больше».",совет
1-5,tires_q2,"ОГЭ любит такие ловушки: кто заметит, что диски одинаковые, тот экономит половину решения.",метафора
1-5,tires_q3,"Колесо — как бургер: две булочки (H) и котлета посередине (d). Складываем всё!",метафора
1-5,tires_q3,"Формула: D = 2H + d, где H = B × p / 100, d = дюймы × 25,4.",объяснение
1-5,tires_q3,"Не забудь перевести дюймы в миллиметры, иначе получишь «колесо в дюймовом мире».",совет
1-5,tires_q3,"Нормальный диаметр легковой шины — около 600–700 мм. Всё, что сильно отличается — ошибка.",совет
1-5,tires_q3,"Мысленно рисуй: две боковины и диск между ними — 2H + d.",метафора
1-5,tires_q3,"Алгоритм трёх шагов: найди H → переведи d → сложи по формуле.",объяснение
1-5,tires_q3,"Проверка себя: для 195/60 R16 получается 640,4 мм — запомни как ориентир.",совет
1-5,tires_q4,"Формула та же: D = 2H + d, только делаем для двух шин и вычитаем.",объяснение
1-5,tires_q4,"Разные диски = обязательно перевести каждый диаметр в миллиметры отдельно!",совет
1-5,tires_q4,"Старое колесо − новое = уменьшение диаметра (ответ положительный).",объяснение
1-5,tires_q4,"Представь, что колесо «похудело»: D₁ − D₂ показывает, на сколько миллиметров стало меньше.",метафора
1-5,tires_q4,"Лайфхак: запиши параметры в таблицу — B, p, d — и считай по строкам.",совет
1-5,tires_q4,"Если получил отрицательное значение — перепутал местами, просто поменяй порядок.",совет
1-5,tires_q4,"На реальном ОГЭ часто разница 3–5 мм — не округляй слишком рано.",совет
1-5,tires_q5,"Пробег = длина окружности: C = π·D. Чем больше D, тем дальше за один оборот.",объяснение
1-5,tires_q5,"Формула для процента: ((D₂ − D₁) ÷ D₁) × 100%.",объяснение
1-5,tires_q5,"π можно не считать — оно сокращается, достаточно сравнить диаметры.",совет
1-5,tires_q5,"Если получилось 101,6%, значит пробег вырос на 1,6%.",пример
1-5,tires_q5,"Смысл задачи: «большое колесо делает шаг великана».",метафора
1-5,tires_q5,"Округляй до десятых — это требование ОГЭ.",совет
1-5,tires_q5,"Нормальная разница — 1–2%. Если получилось 10% — ошибка в расчётах.",совет
1-5,tires_q6,"Алгоритм: (снятие + замена + баланс + установка) × 4 + дорога.",объяснение
1-5,tires_q6,"Дорогу не умножаем — в сервис едем один раз!",совет
1-5,tires_q6,"Это просто арифметика: посчитай для А и для Б, выбери меньшую сумму.",объяснение
1-5,tires_q6,"Представь, что заказываешь 4 пиццы: дорога — доставка, операции — цена пиццы.",метафора
1-5,tires_q6,"Чтобы не ошибиться, сначала сложи всё для одного колеса, потом умножь на 4.",совет
1-5,tires_q6,"Проверка: обычно разница 30–40 рублей, если получилось сотни — ошибка.",совет
1-5,tires_q6,"Жизненный совет от Матюни: считать честно выгоднее, чем «на глаз» — арифметика не обманет!",метафора
